ts_utc,day,sub_uid,label,equity_now,anchor,daily_pnl
2025-11-01 19:27:59,2025-11-01,253800120,253800120,474.51971818,432.71839743,41.80132075
2025-11-01 19:27:59,2025-11-01,152499802,152499802,475.77992317,434.87764318,40.90227999
2025-11-01 19:27:59,2025-11-01,152305682,152305682,475.77992317,435.95734618,39.82257699
2025-11-01 19:27:59,2025-11-01,152304954,152304954,473.68311119,434.52662721,39.15648398
2025-11-01 19:27:59,2025-11-01,65986659,65986659,473.68454810,433.80765585,39.87689225
2025-11-01 19:27:59,2025-11-01,65986592,65986592,474.94634357,433.80677185,41.13957172
2025-11-01 19:28:37,2025-11-01,302355261,302355261,491.32214567,432.35714772,58.96499795
2025-11-01 19:28:37,2025-11-01,260417078,260417078,491.31952884,432.71839743,58.60113141
2025-11-01 19:28:37,2025-11-01,253800120,253800120,492.15645470,432.71839743,59.43805727
2025-11-01 19:28:37,2025-11-01,152499802,152499802,495.93547505,434.87764318,61.05783187
2025-11-01 19:28:37,2025-11-01,152305682,152305682,495.93547505,435.95734618,59.97812887
2025-11-01 19:28:37,2025-11-01,152304954,152304954,495.09569261,434.52662721,60.56906540
2025-11-01 19:28:37,2025-11-01,65986659,65986659,493.83550557,433.80765585,60.02784972
2025-11-01 19:28:37,2025-11-01,65986592,65986592,492.57504715,433.80677185,58.76827530
2025-11-01 19:29:15,2025-11-01,302355261,302355261,519.81574631,432.35714772,87.45859859
